description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Stack of 23 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	52		1	misc							usetype,qty=51																													usetype,qty=1																																																										0
Stack of 24 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	53		1	misc							usetype,qty=52																													usetype,qty=1																																																										0
Stack of 25 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	54		1	misc							usetype,qty=53																													usetype,qty=1																																																										0
Stack of 26 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	55		1	misc							usetype,qty=54																													usetype,qty=1																																																										0
Stack of 27 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	56		1	misc							usetype,qty=55																													usetype,qty=1																																																										0
Stack of 28 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	57		1	misc							usetype,qty=56																													usetype,qty=1																																																										0
Stack of 29 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	58		1	misc							usetype,qty=57																													usetype,qty=1																																																										0
Stack of 30 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	59		1	misc							usetype,qty=58																													usetype,qty=1																																																										0
Stack of 6 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	60		1	misc							usetype,qty=50																													usetype,qty=1																																																										0
Stack of 7 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	61		1	misc							usetype,qty=60																													usetype,qty=1																																																										0
Stack of 8 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	62		1	misc							usetype,qty=61																													usetype,qty=1																																																										0
Stack of 9 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	63		1	misc							usetype,qty=62																													usetype,qty=1																																																										0
Stack of 10 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	64		1	misc							usetype,qty=63																													usetype,qty=1																																																										0
Stack of 11 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	65		1	misc							usetype,qty=64																													usetype,qty=1																																																										0
Stack of 12 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	66		1	misc							usetype,qty=65																													usetype,qty=1																																																										0
Stack of 13 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	67		1	misc							usetype,qty=66																													usetype,qty=1																																																										0
Stack of 14 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	68		1	misc							usetype,qty=67																													usetype,qty=1																																																										0
Stack of 15 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	69		1	misc							usetype,qty=68																													usetype,qty=1																																																										0
Stack of 16 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	70		1	misc							usetype,qty=69																													usetype,qty=1																																																										0
Stack of 17 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	71		1	misc							usetype,qty=70																													usetype,qty=1																																																										0
Stack of 18 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	72		1	misc							usetype,qty=71																													usetype,qty=1																																																										0
Stack of 19 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	73		1	misc							usetype,qty=72																													usetype,qty=1																																																										0
Stack of 20 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	74		1	misc							usetype,qty=73																													usetype,qty=1																																																										0
Stack of 21 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	75		1	misc							usetype,qty=74																													usetype,qty=1																																																										0
Stack of 22 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	76		1	misc							usetype,qty=75																													usetype,qty=1																																																										0
Stack of 23 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	77		1	misc							usetype,qty=76																													usetype,qty=1																																																										0
Stack of 24 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	78		1	misc							usetype,qty=77																													usetype,qty=1																																																										0
Stack of 25 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	79		1	misc							usetype,qty=78																													usetype,qty=1																																																										0
Stack of 26 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	80		1	misc							usetype,qty=79																													usetype,qty=1																																																										0
Stack of 27 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	81		1	misc							usetype,qty=80																													usetype,qty=1																																																										0
Stack of 28 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	82		1	misc							usetype,qty=81																													usetype,qty=1																																																										0
Stack of 29 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	83		1	misc							usetype,qty=82																													usetype,qty=1																																																										0
Stack of 30 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	84		1	misc							usetype,qty=83																													usetype,qty=1																																																										0
Stack of 20 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	85		1	misc							usetype,qty=84																													usetype,qty=1																																																										0
Stack of 21 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	86		1	misc							usetype,qty=85																													usetype,qty=1																																																										0
Stack of 22 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	87		1	misc							usetype,qty=86																													usetype,qty=1																																																										0
Stack of 23 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	88		1	misc							usetype,qty=87																													usetype,qty=1																																																										0
Stack of 24 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	89		1	misc							usetype,qty=88																													usetype,qty=1																																																										0
Stack of 25 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	90		1	misc							usetype,qty=89																													usetype,qty=1																																																										0
Stack of 26 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	91		1	misc							usetype,qty=90																													usetype,qty=1																																																										0
Stack of 27 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	92		1	misc							usetype,qty=91																													usetype,qty=1																																																										0
Stack of 28 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	93		1	misc							usetype,qty=92																													usetype,qty=1																																																										0
Stack of 29 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	94		1	misc							usetype,qty=93																													usetype,qty=1																																																										0
Stack of 30 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	95		1	misc							usetype,qty=94																													usetype,qty=1																																																										0
Stack of 27 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	96		1	misc							usetype,qty=95																													usetype,qty=1																																																										0
Stack of 28 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	97		1	misc							usetype,qty=96																													usetype,qty=1																																																										0
Stack of 29 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	98		1	misc							usetype,qty=97																													usetype,qty=1																																																										0
Stack of 30 Misc (any) -> Stack-1 + Single Misc	1			0	18	70	99		1	misc							usetype,qty=98																													usetype,qty=1																																																										0
Wirt's Leg + Tome of Town Portal -> Portal to The Secret Cow Level	1			0	28				2	"tbk,qty=2"							Cow Portal																																																																																							0
符文降级r02	1			100					2	r02	yps						r01																													r01																													yps																													0
符文降级r03	1			100					2	r03	yps						r02																													r02																													yps																													0
符文降级r04	1			100					2	r04	yps						r03																													r03																													yps																													0
符文降级r05	1			100					2	r05	yps						r04																													r04																													yps																													0
符文降级r06	1			100					2	r06	yps						r05																													r05																													yps																													0
符文降级r07	1			100					2	r07	yps						r06																													r06																													yps																													0
符文降级r08	1			100					2	r08	yps						r07																													r07																													yps																													0
符文降级r09	1			100					2	r09	yps						r08																													r08																													yps																													0
符文降级r10	1			100					2	r10	yps						r09																													r09																													yps																													0
符文降级r11	1			100					2	r11	yps						r10																																																										yps																													0
符文降级r12	1			100					2	r12	yps						r11																																																										yps																													0
符文降级r13	1			100					2	r13	yps						r12																																																										yps																													0
符文降级r14	1			100					2	r14	yps						r13																																																										yps																													0
符文降级r15	1			100					2	r15	yps						r14																																																										yps																													0
符文降级r16	1			100					2	r16	yps						r15																																																										yps																													0
符文降级r17	1			100					2	r17	yps						r16																																																										yps																													0
符文降级r18	1			100					2	r18	yps						r17																																																										yps																													0
符文降级r19	1			100					2	r19	yps						r18																																																										yps																													0
符文降级r20	1			100					2	r20	yps						r19																																																										yps																													0
符文降级r21	1			100					2	r21	yps						r20																																																										yps																													0
符文降级r22	1			100					2	r22	yps						r21																																																										yps																													0
符文降级r23	1			100					2	r23	yps						r22																																																										yps																													0
符文降级r24	1			100					2	r24	yps						r23																																																										yps																													0
Insight	1			100					5	weap,any	r08	r03	r07	r12			useitem	100			aura		120	2	4	levelreq	100		5	10	dmg%			4	10	Critical Strike			2	10	att%			4	15																																																											0
Harmony	1			100					5	weap,any	r03	r06	r12	r18			useitem	100			aura		115	2	4	levelreq	100		5	10	dmg%			4	10	dmg-elem			4	10																																																																0
Harmony	1			100					5	armo,any	r03	r06	r12	r18			useitem	100			aura		115	2	4	levelreq	100		5	10	dmg%			4	10	dmg-elem			4	10																																																																0
Lawbringer	1			100					4	weap,any	r11	r20	r18				useitem	100			aura		119	2	4	hit-skill		87	10	25	dmg-fire			4	10	levelreq	100		5	10																																																																0
Call to Arms	1			100					6	weap,any	r11	r08	r23	r24	r27		useitem	100			levelreq	100		5	10	dmg%			4	10	oskill		155	2	4	oskill		149	2	4	oskill		146	2	4																																																											0
Exile	1			100					5	shld,any	r26	r27	r24	r14			useitem	100			aura		104	2	4	hit-skill		82	10	25	levelreq	100		5	10	block2			4	5	ac%			4	10																																																											0
Grief	1			100					6	weap,any	r05	r03	r28	r23	r08		useitem	100			dmg			50	70	swing3			6	10	levelreq	100		5	10	ignore-ac			2	2	hit-skill		278	10	25																																																											0
Beast	1			100					6	weap,any	r30	r03	r22	r23	r17		useitem	100			swing2			6	10	aura		122	2	4	dmg%			4	10	levelreq	100		5	10																																																																0
Infinity	1			100					5	weap,any	"r30,qty=2"	r23	r24				useitem	100			aura		123	2	4	pierce-ltng			6	15	levelreq	100		5	10	dmg%			4	20	kill-skill		53	20	35																																																											0
Faith	1			100					5	weap,any	r27	r31	r20	r02			useitem	100			aura		122	2	4	levelreq	100		5	10	dmg%			6	20	att%			20	35																																																																0
Phoenix	1			100					5	shld,any	"r26,qty=2"	r28	r31				useitem	100			dmg%			6	10	pierce-fire			4	10	aura		124	2	4	levelreq	100		5	10	abs-fire			10	20																																																											0
Doom	1			100					6	armo,any	r15	r27	r22	r28	r32		useitem	100			dmg%			6	20	aura		114	2	4	pierce-cold			6	15	levelreq	100		5	10																																																																0
Pride	1			100					5	weap,any	r32	r29	r16	r28			useitem	100			aura		113	2	4	levelreq	100		5	10	dmg-ltng			10	55	att%			20	55																																																																0
Pride	1			100					5	armo,any	r32	r29	r16	r28			useitem	100			aura		113	2	4	levelreq	100		5	10	dmg-ltng			10	55	att%			20	55																																																																0
Enigma	1			100					4	armo,any	r31	r06	r30				useitem	100			oskill		54	1	1	levelreq	100		5	10																																																																										0
全技能	1			100					5	weap,any	jew	r32	r25	r31			useitem	100			allskills			1	1	levelreq	100		5	10																																																																										0
全技能	1			100					5	armo,any	jew	r32	r25	r31			useitem	100			allskills			1	1	levelreq	100		5	10																																																																										0
全技能	1			100					5	amu,any	jew	r32	r25	r31			useitem	100			allskills			1	1	levelreq	100		5	10																																																																										0
全技能	1			100					5	rin,any	jew	r32	r25	r31			useitem	100			allskills			1	1	levelreq	100		5	10																																																																										0
施法速度	1			100					4	weap,any	jew	"r23,qty=2"					useitem	100			cast3			2	6	levelreq	100		5	10																																																																										0
施法速度	1			100					4	armo,any	jew	"r23,qty=2"					useitem	100			cast3			2	6	levelreq	100		5	10																																																																										0
打击回复	1			100					4	armo,any	jew	"r24,qty=2"					useitem	100			balance3			2	6	levelreq	100		5	10																																																																										0
伤害强化	1			100					4	armo,any	jew	"r25,qty=2"					useitem	100			dmg%			2	6	levelreq	100		5	10																																																																										0
伤害强化	1			100					4	weap,any	jew	"r25,qty=2"					useitem	100			dmg%			2	6	levelreq	100		5	10																																																																										0
防御强化	1			100					4	weap,any	jew	"r22,qty=2"					useitem	100			ac%			2	6	levelreq	100		5	10																																																																										0
移动速度	1			100					4	armo,any	jew	"r21,qty=2"					useitem	100			move2			2	6	levelreq	100		5	10																																																																										0
快速格挡	1			100					4	armo,any	jew	"r20,qty=2"					useitem	100			block2			2	6	levelreq	100		5	10																																																																										0
寒冷吸收	1			100					4	armo,any	jew	r15	r25				useitem	100			abs-cold%			2	6	abs-cold			2	10	levelreq	100		5	10																																																																					0
火焰吸收	1			100					4	armo,any	jew	r16	r26				useitem	100			abs-fire%			2	6	abs-fire			2	10	levelreq	100		5	10																																																																					0
闪电吸收	1			100					4	armo,any	jew	r17	r27				useitem	100			abs-ltng%			2	6	abs-ltng			2	10	levelreq	100		5	10																																																																					0
魔法吸收	1			100					4	armo,any	jew	r18	r28				useitem	100			abs-mag%			2	6	abs-mag			2	10	levelreq	100		5	10																																																																					0
物理减伤	1			100					4	armo,any	jew	r19	r29				useitem	100			red-dmg%			2	6	red-dmg			2	10	levelreq	100		5	10																																																																					0
任意装打孔1	1			100					2	"any,rin,amu"	r01						"useitem,sock=1,rep"		35	65																																																																																				0
无孔装打孔2	1			100					2	any,nos	r02						"useitem,sock=2,rep"		35	65																																																																																				0
无孔装打孔3	1			100					2	any,nos	r03						"useitem,sock=3,rep"		35	65																																																																																				0
无孔装打孔4	1			100					2	any,nos	r04						"useitem,sock=4,rep"		35	65																																																																																				0
无孔装打孔5	1			100					2	any,nos	r05						"useitem,sock=5,rep"		35	65																																																																																				0
无孔装打孔6	1			100					2	any,nos	r06						"useitem,sock=6,rep"		35	65																																																																																				0
有孔装变2孔	1			100					2	any,sock	flg						useitem				sock			2	2																																																																															0
有孔装变3孔	1			100					3	any,sock	flg,qty=2						useitem				sock			3	3																																																																															0
有孔装变4孔	1			100					4	any,sock	flg,qty=3						useitem				sock			4	4																																																																															0
有孔装变5孔	1			100					5	any,sock	flg,qty=4						useitem				sock			5	5																																																																															0
有孔装变6孔	1			100					6	any,sock	flg,qty=5						useitem				sock			6	6																																																																															0
test黄色武器复制到大护符（作废）	1			100					99	weap,rar	cm2	dhn					cm2,mod		100																																																																																					0
test黄色防具复制到大护符（作废）	1			100					99	armo,rar	cm2	bey					cm2,mod		100																																																																																					0
test黄色饰品复制到大护符（作废）	1			100					99	rin,amu,rar	cm1	mbr					cm1,mod		100																																																																																					0
test暗金武器复制到巨大护符（作废）	1			100					99	weap,uni	cm3	std					cm3,mod		100																																																																																					0
test暗金防具复制到巨大护符（作废）	1			100					99	armo,uni	cm3	std					cm3,mod		100																																																																																					0
test暗金饰品复制到巨大护符（作废）	1			100					99	rin,amu,uni	cm3	std					cm3,mod		100																																																																																					0
test重铸				100					1	any,uni							useitem,reg																																																																																							0
test洗魔法				100					1	any,mag							usetype,mag	100																																																																																						0
test洗魔法				100					2	any,mag	tsc						usetype,uni	100																																																																																						0
test洗暗金				100					2	any,uni	tsc						usetype,uni	100																																																																																						0
test洗亮金				100					1	any,rar							usetype,rar	100																																																																																						0
test洗亮金珠宝				100					99	jew							jew,uni		50	50																																																																																				0
test终极红门				100	28				3	ibk	hpot	mpot					Pandemonium Finale Portal																																																																																							0
test红门				100	28				3	tbk	hpot	mpot					Pandemonium Portal																																																																																							0
test转职护符				100					1	isc							sc_w	110																												w81	110																												drusc	110																												0
test转职				100					2	sc_w	tsc						uuseitem				oskill		20	419	419	oskill		20	420	420	oskill		20	421	421																																																																					0
test转职				100					2	sc_w	isc						uuseitem				oskill		20	422	422	oskill		20	423	423	oskill		20	424	424																																																																					0
test转职				100					2	sc_w	hpot						uuseitem				oskill		20	425	425	oskill		426	426	420	oskill		20	427	427																																																																					0
test转职				100					2	sc_w	mpot						uuseitem				oskill		20	428	428	oskill		429	429	420	oskill		20	430	430																																																																					0
test转职				100					2	sc_w	tbk						uuseitem				oskill		20	431	431	oskill		20	432	432	oskill		20	433	433																																																																					0
test转职				100					2	sc_w	ibk						uuseitem				oskill		20	434	434	oskill		20	435	435	oskill		20	436	436																																																																					0
test装备+专精				100					2	armo	isc						useitem	110			oskill-rand_w		20	416	418																					w81	110																												drusc	110																												0
test装备+专精				100					2	armo	tsc						useitem	110			oskill		416	20	20																					w81	110																												drusc	110																												0
test1				100					1	tsc							zmb,set	26																												amu,set	26																												oba,set	26																												0
test1				100					1	isc							uth,set	26																												xsk,set	26																												rin,set	15																												0
test2				100					1	hpot							Cathan's Rule	15																												Cathan's Visage	15																												Cathan's Seal	15																												0
test3				100					1	mpot							Cathan's Mesh	15																												Cathan's Sigil	15																																																									0
继承套装1	1			100	15	374	1		4	cm_jcw	Civerb's Ward	Civerb's Icon	Civerb's Cudgel				useitem				jc_w			-1	-1	str		0	15	15	dmg-undead		0	200	200	res-ltng		0	25	25	jc_tz1			1	1																																																											0
继承套装2	1			100	15	374	1		4	cm_jcw	Hsarus' Iron Heel	Hsarus' Iron Fist	Hsarus' Iron Stay				useitem				jc_w			-1	-1	dmg-max		0	5	5	nofreeze		0	1	1	res-ltng		0	25	25	jc_tz2			1	1																																																											0
继承套装3	1			100	15	374	1		4	cm_jcw	Cleglaw's Tooth	Cleglaw's Claw	Cleglaw's Pincers				useitem				jc_w			-1	-1	manasteal		0	6	6	crush		0	35	35	swing2			20	20	jc_tz3			1	1																																																											0
继承套装4	1			100	15	374	1		5	cm_jcw	Iratha's Collar	Iratha's Cuff	Iratha's Coil	Iratha's Cord			useitem				jc_w			-1	-1	res-all		0	20	20	dex		0	15	15	resmax_w			10	10	jc_tz4			1	1																																																											0
继承套装5	1			100	15	374	1		5	cm_jcw	Isenhart's Lightbrand	Isenhart's Parry	Isenhart's Case	Isenhart's Horns			useitem				jc_w			-1	-1	lifesteal		0	5	5	res-all		0	10	10	move2			20	20	jc_tz5			1	1																																																											0
继承套装6	1			100	15	374	1		5	cm_jcw	Vidala's Barb	Vidala's Fetlock	Vidala's Ambush	Vidala's Snare			useitem				jc_w			-1	-1	dmg-cold		50	15	20	freeze		0	1	1	pierce		0	50	50	jc_tz6			1	1																																																											0
继承套装7	1			100	15	374	1		5	cm_jcw	Milabrega's Orb	Milabrega's Rod	Milabrega's Diadem	Milabrega's Robe			useitem				jc_w			-1	-1	lifesteal		0	8	8	pal		0	2	2	manasteal		0	10	10	jc_tz7			1	1																																																											0
继承套装8	1			100	15	374	1		6	cm_jcw	Cathan's Rule	Cathan's Mesh	Cathan's Visage	Cathan's Sigil	Cathan's Seal		useitem				jc_w			-1	-1	att		0	60	60	res-all		0	25	25	cast1		0	10	10	jc_tz8			1	1																																																											0
继承套装9	1			100	15	374	1		6	cm_jcw	Tancred's Crowbill	Tancred's Spine	Tancred's Hobnails	Tancred's Weird	Tancred's Skull		useitem				jc_w			-1	-1	gold%		0	75	75	res-all		0	10	10	slow		0	35	35	jc_tz9			1	1																																																											0
继承套装10	1			100	15	374	1		7	cm_jcw	Sigon's Gage	Sigon's Visor	Sigon's Shelter	Sigon's Sabot	Sigon's Wrap	Sigon's Guard	useitem				jc_w			-1	-1	res-fire		0	12	12	red-dmg		0	7	7	fire-max		0	24	24	jc_tz10			1	1																																																											0
继承套装11	1			100	15	374	1		4	cm_jcw	Infernal Cranium	Infernal Torch	Infernal Sign				useitem				jc_w			-1	-1	nec		0	1	1	openwounds		0	20	20	manasteal			6	6	jc_tz11			1	1																																																											0
继承套装12	1			100	15	374	1		4	cm_jcw	Berserker's Headgear	Berserker's Hauberk	Berserker's Hatchet				useitem				jc_w			-1	-1	pois-min		0	16	16	pois-max		0	32	32	pois-len		0	75	75	jc_tz12			1	1																																																											0
继承套装13	1			100	15	374	1		4	cm_jcw	Death's Hand	Death's Guard	Death's Touch				useitem				jc_w			-1	-1	att%		0	40	40	dmg-min		0	10	10	res-all		0	25	25	jc_tz13			1	1																																																											0
继承套装14	1			100	15	374	1		5	cm_jcw	Angelic Sickle	Angelic Mantle	Angelic Halo	Angelic Wings			useitem				jc_w			-1	-1	res-all		0	25	25	half-freeze		0	1	1	mag%		0	40	40	jc_tz14			1	1																																																											0
继承套装15	1			100	15	374	1		5	cm_jcw	Arctic Horn	Arctic Furs	Arctic Binding	Arctic Mitts			useitem				jc_w			-1	-1	cold-min		0	6	6	cold-max		0	14	14	cold-len		0	100	100	jc_tz15			1	1																																																											0
继承套装16	1			100	15	374	1		5	cm_jcw	Arcanna's Sign	Arcanna's Deathwand	Arcanna's Head	Arcanna's Flesh			useitem				jc_w			-1	-1	cast3		0	20	20	manasteal		0	5	5	mana		0	25	25	jc_tz16			1	1																																																											0
继承套装17	1			100	15	374	1		5	cm_jcw	Natalya's Totem	Natalya's Mark	Natalya's Shadow	Natalya's Soul			useitem				jc_w			-1	-1	ass			1	3	allskills			1	2	oskill-rand_w		10	434	436	jc_tz17			1	1																																																											0
继承套装18	1			100	15	374	1		5	cm_jcw	Aldur's Stony Gaze	Aldur's Deception	Aldur's Gauntlet	Aldur's Advance			useitem				jc_w			-1	-1	dru			1	3	allskills			1	2	oskill-rand_w		10	431	433	jc_tz18			1	1																																																											0
继承套装19	1			100	15	374	1		7	cm_jcw	Immortal King's Will	Immortal King's Soul Cage	Immortal King's Detail	Immortal King's Forge	Immortal King's Pillar	Immortal King's Stone Crusher	useitem				jc_w			-1	-1	bar			1	3	allskills			1	2	oskill-rand_w		10	428	430	jc_tz19			1	1																																																											0
继承套装20	1			100	15	374	1		6	cm_jcw	Tal Rasha's Fire-Spun Cloth	Tal Rasha's Adjudication	Tal Rasha's Lidless Eye	Tal Rasha's Howling Wind	Tal Rasha's Horadric Crest		useitem				jc_w			-1	-1	sor			1	3	allskills			1	2	oskill-rand_w		10	416	418	jc_tz20			1	1																																																											0
继承套装21	1			100	15	374	1		5	cm_jcw	Griswold's Valor	Griswold's Heart	Griswolds's Redemption	Griswold's Honor			useitem				jc_w			-1	-1	pal			1	3	allskills			1	2	oskill-rand_w		10	425	427	jc_tz21			1	1																																																											0
继承套装22	1			100	15	374	1		6	cm_jcw	Trang-Oul's Guise	Trang-Oul's Scales	Trang-Oul's Wing	Trang-Oul's Claws	Trang-Oul's Girth		useitem				jc_w			-1	-1	nec			1	3	allskills			1	2	oskill-rand_w		10	422	424	jc_tz22			1	1																																																											0
继承套装23	1			100	15	374	1		6	cm_jcw	M'avina's True Sight	M'avina's Embrace	M'avina's Icy Clutch	M'avina's Tenet	M'avina's Caster		useitem				jc_w			-1	-1	ama			1	3	allskills			1	2	oskill-rand_w		10	419	421	jc_tz23			1	1																																																											0
继承套装24	1			100	15	374	1		6	cm_jcw	Telling of Beads	Laying of Hands	Rite of Passage	Dark Adherent	Credendum		useitem				jc_w			-1	-1	res-all			50	50	allskills			2	2	mana			100	100	jc_tz24			1	1																																																											0
继承套装25	1			100	15	374	1		5	cm_jcw	Dangoon's Teaching	Heaven's Taebaek	Haemosu's Adament	Ondal's Almighty			useitem				jc_w			-1	-1	res-all			50	50	allskills			2	2	nofreeze			1	1	jc_tz25			1	1																																																											0
继承套装26	1			100	15	374	1		5	cm_jcw	Guillaume's Face	Wilhelm's Pride	Magnus' Skin	Wihtstan's Guard			useitem				jc_w			-1	-1	hp			50	50	res-all			15	15	mag%			80	80	jc_tz26			1	1																																																											0
继承套装27	1			100	15	374	1		5	cm_jcw	Hwanin's Splendor	Hwanin's Refuge	Hwanin's Seal	Hwanin's Justice			useitem				jc_w			-1	-1	allskills			2	2	lifesteal			20	20	move3			30	30	jc_tz27			1	1																																																											0
继承套装28	1			100	15	374	1		4	cm_jcw	Sazabi's Cobalt Redeemer	Sazabi's Ghost Liberator	Sazabi's Mental Sheath				useitem				jc_w			-1	-1	res-all			30	30	lifesteal			15	15	hp%			27	27	jc_tz28			1	1																																																											0
继承套装29	1			100	15	374	1		3	cm_jcw	Bul-Kathos' Sacred Charge	Bul-Kathos' Tribal Guardian					useitem				jc_w			-1	-1	dmg-undead			200	200	dmg-demon			200	200	allskills			2	2	jc_tz29			1	1																																																											0
继承套装30	1			100	15	374	1		4	cm_jcw	Cow King's Horns	Cow King's Hide	Cow King's Hoofs				useitem				jc_w			-1	-1	gold%			100	100	mag%			100	100	swing3			30	30	jc_tz30			1	1																																																											0
继承套装31	1			100	15	374	1		4	cm_jcw	Naj's Puzzler	Naj's Light Plate	Naj's Circlet				useitem				jc_w			-1	-1	allskills			1	1	regen			10	10	all-stats			20	20	jc_tz31			1	1																																																											0
继承套装32	1			100	15	374	1		5	cm_jcw	McAuley's Paragon	McAuley's Riprap	McAuley's Taboo	McAuley's Superstition			useitem				jc_w			-1	-1	allskills			1	1	mag%			50	50	mana			50	50	jc_tz32			1	1																																																											0
锻造石升级w02	1			100					3	w01,qty=3							w02																																																																																							0
锻造石升级w03	1			100					3	w02,qty=3							w03																																																																																							0
锻造石升级w05	1			100					3	w04,qty=3							w05																																																																																							0
锻造石升级w06	1			100					3	w05,qty=3							w06																																																																																							0
锻造石升级w08	1			100					3	w07,qty=3							w08																																																																																							0
锻造石升级w09	1			100					3	w08,qty=3							w09																																																																																							0
锻造石升级w11	1			100					3	w10,qty=3							w11																																																																																							0
锻造石升级w12	1			100					3	w11,qty=3							w12																																																																																							0
锻造石升级w14	1			100					3	w13,qty=3							w14																																																																																							0
锻造石升级w15	1			100					3	w14,qty=3							w15																																																																																							0
锻造石升级w17	1			100					3	w16,qty=3							w17																																																																																							0
锻造石升级w18	1			100					3	w17,qty=3							w18																																																																																							0
锻造石升级w20	1			100					3	w19,qty=3							w20																																																																																							0
锻造石升级w21	1			100					3	w20,qty=3							w21																																																																																							0
锻造石升级w23	1			100					3	w22,qty=3							w23																																																																																							0
锻造石升级w24	1			100					3	w23,qty=3							w24																																																																																							0
锻造石升级w32	1			100					3	w31,qty=3							w32																																																																																							0
锻造石升级w33	1			100					3	w32,qty=3							w33																																																																																							0
锻造石升级w35	1			100					3	w34,qty=3							w35																																																																																							0
锻造石升级w36	1			100					3	w35,qty=3							w36																																																																																							0
锻造石升级w38	1			100					3	w37,qty=3							w38																																																																																							0
锻造石升级w39	1			100					3	w38,qty=3							w39																																																																																							0
锻造石升级w41	1			100					3	w40,qty=3							w41																																																																																							0
锻造石升级w42	1			100					3	w41,qty=3							w42																																																																																							0
锻造石升级w44	1			100					3	w43,qty=3							w44																																																																																							0
锻造石升级w45	1			100					3	w44,qty=3							w45																																																																																							0
锻造石升级w47	1			100					3	w46,qty=3							w47																																																																																							0
锻造石升级w48	1			100					3	w47,qty=3							w48																																																																																							0
锻造石升级w50	1			100					3	w49,qty=3							w50																																																																																							0
锻造石升级w51	1			100					3	w50,qty=3							w51																																																																																							0
锻造石升级w53	1			100					3	w52,qty=3							w53																																																																																							0
锻造石升级w54	1			100					3	w53,qty=3							w54																																																																																							0
锻造石升级w62	1			100					3	w61,qty=3							w62																																																																																							0
锻造石升级w63	1			100					3	w62,qty=3							w63																																																																																							0
锻造石升级w65	1			100					3	w64,qty=3							w65																																																																																							0
锻造石升级w66	1			100					3	w65,qty=3							w66																																																																																							0
